Employee_ID,Years_Experience,Hours_Worked_Per_Week,Certifications,Performance_Score,Age,Salary_LPA
E001,1,38,0,62,22,3.2
E002,2,40,1,65,23,3.6
E003,3,42,1,68,25,4.0
E004,4,45,2,72,26,4.8
E005,5,46,2,75,28,5.2
E006,6,,3,78,29,5.9
E007,7,48,3,80,31,6.5
E008,8,50,4,82,32,7.2
E009,9,52,4,85,34,
E010,10,54,5,88,35,8.5
E011,11,55,,90,36,9.1
E012,12,56,6,92,38,9.8
E013,13,58,6,,39,10.4
E014,14,60,7,95,41,11.2
E015,15,60,7,96,42,11.8
E016,16,62,8,97,,12.5
E017,17,64,8,98,45,13.1
E018,18,65,9,99,46,13.9
E019,19,66,9,97,48,14.4
E020,20,68,10,98,50,15.2
E021,2,40,0,60,24,3.4
E022,4,44,1,70,27,4.6
E023,6,47,2,76,30,5.6
E024,8,50,,82,33,7.0
E025,10,53,4,88,,8.6
E026,12,56,5,91,37,9.5
E027,14,59,6,94,40,11.0
E028,16,62,7,96,43,12.3
E029,18,,8,98,47,13.7
E030,20,68,10,99,51,
